id_encuesta,fecha,area_servicio,genero,tipo_cliente,turno,satisfaccion_general,amabilidad_personal,tiempo_espera,calidad_servicio,limpieza_instalaciones,claridad_informacion,resolucion_problema,probabilidad_recomendar,edad_cliente,tiempo_atencion_minutos
32,2025-11-04,Planta de alimentos,Femenino,Nuevo,Tarde,8,7,6,7,6,7,8,9,53,9
33,2025-11-04,Farmacia,Femenino,Frecuente,Tarde,8,8,9,10,9,10,7,8,38,10
34,2025-11-04,Movilización,Femenino,Frecuente,Mañana,9,8,8,7,7,8,8,9,47,13
35,2025-11-04,Farmacia,Femenino,Frecuente,Mañana,3,8,5,7,6,6,6,3,18,13
36,2025-11-04,Farmacia,Masculino,Frecuente,Mañana,9,6,9,9,7,8,8,8,60,3
37,2025-11-04,Movilización,Masculino,Frecuente,Noche,8,6,5,6,7,5,5,9,49,13
38,2025-11-04,Movilización,Masculino,Frecuente,Mañana,7,5,6,6,6,8,7,7,57,10
39,2025-11-04,Farmacia,Femenino,Nuevo,Mañana,8,5,8,10,7,6,8,9,40,5
40,2025-11-04,Farmacia,Masculino,Frecuente,Mañana,7,10,8,7,7,7,6,7,30,12
41,2025-11-05,Farmacia,Femenino,Frecuente,Mañana,8,8,8,7,8,10,7,8,42,8
42,2025-11-05,Movilización,Femenino,Frecuente,Noche,5,7,6,7,6,6,5,6,23,15
43,2025-11-05,Movilización,Femenino,Frecuente,Noche,6,6,7,8,8,5,6,7,60,18
44,2025-11-05,Movilización,Femenino,Nuevo,Tarde,9,7,6,8,7,5,8,9,38,17
45,2025-11-05,Movilización,Masculino,Frecuente,Mañana,9,8,6,9,10,8,9,7,58,17
46,2025-11-05,Movilización,Femenino,Frecuente,Mañana,7,9,8,6,8,9,9,6,61,14
47,2025-11-05,Planta de alimentos,Femenino,Frecuente,Noche,7,4,5,7,7,5,6,7,35,2
48,2025-11-05,Planta de alimentos,Masculino,Nuevo,Tarde,7,9,6,7,7,8,7,7,38,7
49,2025-11-05,Movilización,Femenino,Frecuente,Mañana,7,6,8,5,6,6,6,4,72,19
50,2025-11-05,Movilización,Femenino,Nuevo,Tarde,7,8,6,6,8,6,5,7,27,16
51,2025-11-05,Movilización,Masculino,Frecuente,Tarde,5,6,5,6,8,7,6,4,41,23
52,2025-11-05,Movilización,Femenino,Frecuente,Tarde,8,7,3,8,7,5,6,7,38,20
53,2025-11-05,Farmacia,Masculino,Frecuente,Tarde,7,6,8,7,7,7,8,6,37,14
54,2025-11-05,Planta de alimentos,Femenino,Frecuente,Tarde,7,8,6,8,10,8,8,7,48,8
55,2025-11-06,Movilización,Femenino,Nuevo,Noche,8,8,9,9,8,9,9,10,60,13
56,2025-11-06,Movilización,Masculino,Frecuente,Mañana,6,7,7,8,7,8,8,6,42,18
57,2025-11-06,Farmacia,Masculino,Frecuente,Mañana,8,8,8,8,8,8,6,9,49,16
58,2025-11-06,Farmacia,Masculino,Nuevo,Tarde,7,6,7,7,7,7,7,7,33,13
59,2025-11-06,Farmacia,Masculino,Frecuente,Mañana,10,9,10,10,10,9,10,9,31,14
60,2025-11-06,Movilización,Masculino,Frecuente,Mañana,9,8,6,8,9,9,9,9,34,20
61,2025-11-06,Farmacia,Masculino,Frecuente,Tarde,8,7,7,9,6,7,7,5,64,9
62,2025-11-06,Planta de alimentos,Masculino,Nuevo,Noche,8,7,7,7,6,6,7,8,75,3
63,2025-11-07,Movilización,Masculino,Frecuente,Noche,5,8,4,7,8,7,2,6,35,18
64,2025-11-07,Planta de alimentos,Masculino,Frecuente,Mañana,10,10,9,10,9,10,9,10,42,5
65,2025-11-07,Planta de alimentos,Masculino,Frecuente,Noche,6,9,8,9,8,8,8,5,75,10
66,2025-11-07,Farmacia,Femenino,Frecuente,Tarde,8,8,9,7,7,9,7,7,52,2
67,2025-11-07,Farmacia,Masculino,Nuevo,Mañana,6,6,7,4,8,6,7,7,48,12
68,2025-11-07,Planta de alimentos,Masculino,Frecuente,Mañana,8,7,5,5,9,8,7,8,29,5
69,2025-11-07,Farmacia,Masculino,Frecuente,Tarde,7,8,7,8,7,7,10,6,35,3
70,2025-11-08,Movilización,Femenino,Frecuente,Tarde,9,8,5,8,9,6,7,9,45,17
71,2025-11-08,Farmacia,Masculino,Frecuente,Tarde,8,9,7,9,8,6,9,8,29,11
72,2025-11-08,Farmacia,Femenino,Frecuente,Noche,7,8,6,8,7,6,5,5,36,2
73,2025-11-08,Movilización,Masculino,Frecuente,Mañana,8,7,8,8,10,9,9,9,44,18
74,2025-11-08,Planta de alimentos,Masculino,Nuevo,Mañana,6,6,7,8,7,5,5,6,39,2
75,2025-11-08,Planta de alimentos,Femenino,Nuevo,Tarde,8,10,7,9,9,9,10,8,42,6
76,2025-11-08,Farmacia,Masculino,Nuevo,Tarde,6,7,6,6,5,5,5,6,34,9
77,2025-11-08,Farmacia,Femenino,Frecuente,Mañana,8,7,9,10,8,8,7,7,50,5
78,2025-11-08,Planta de alimentos,Masculino,Frecuente,Tarde,10,10,9,9,9,8,10,10,39,3
79,2025-11-08,Movilización,Masculino,Frecuente,Noche,9,8,6,8,7,7,8,9,44,11
80,2025-11-08,Movilización,Femenino,Frecuente,Tarde,7,9,6,7,6,7,7,7,66,20
81,2025-11-08,Movilización,Masculino,Nuevo,Tarde,6,4,6,8,8,6,9,5,29,19
82,2025-11-08,Farmacia,Masculino,Frecuente,Tarde,8,6,7,8,7,8,8,8,57,18
83,2025-11-09,Planta de alimentos,Femenino,Frecuente,Mañana,9,8,7,7,9,9,9,8,48,3
84,2025-11-09,Farmacia,Masculino,Frecuente,Tarde,7,8,7,8,8,7,6,8,45,15
85,2025-11-09,Farmacia,Femenino,Nuevo,Noche,8,7,6,7,7,7,7,9,57,3
86,2025-11-09,Planta de alimentos,Masculino,Nuevo,Mañana,10,8,8,8,9,10,10,10,44,2
87,2025-11-09,Farmacia,Masculino,Frecuente,Mañana,7,6,8,7,8,9,6,6,30,3
88,2025-11-09,Movilización,Masculino,Nuevo,Noche,7,6,6,9,7,5,6,9,33,23
89,2025-11-09,Movilización,Masculino,Nuevo,Tarde,5,5,3,2,3,3,3,5,53,23
90,2025-11-09,Movilización,Otro,Nuevo,Mañana,5,7,4,6,7,6,6,5,75,18
91,2025-11-09,Farmacia,Masculino,Nuevo,Mañana,7,7,7,6,5,6,6,7,18,11
92,2025-11-10,Farmacia,Femenino,Frecuente,Noche,8,8,7,8,8,7,6,9,46,3
93,2025-11-10,Farmacia,Femenino,Frecuente,Tarde,7,5,6,7,5,5,6,6,23,10
94,2025-11-10,Movilización,Otro,Nuevo,Noche,4,6,6,6,6,6,5,5,47,20
95,2025-11-10,Farmacia,Masculino,Frecuente,Mañana,8,8,7,8,7,9,9,9,21,14
96,2025-11-10,Farmacia,Masculino,Frecuente,Mañana,8,7,6,7,7,8,9,8,28,9
97,2025-11-10,Farmacia,Masculino,Frecuente,Tarde,9,9,10,6,10,10,9,9,26,15
98,2025-11-10,Farmacia,Femenino,Nuevo,Tarde,7,8,4,6,10,8,7,9,25,14
99,2025-11-11,Movilización,Femenino,Nuevo,Mañana,6,7,7,5,7,8,6,5,49,17
100,2025-11-11,Planta de alimentos,Femenino,Nuevo,Tarde,6,7,4,6,5,5,6,7,38,5
101,2025-11-11,Planta de alimentos,Masculino,Nuevo,Tarde,6,8,7,7,8,8,6,6,54,9
102,2025-11-11,Planta de alimentos,Masculino,Frecuente,Mañana,8,9,8,8,7,9,8,9,60,3
103,2025-11-11,Planta de alimentos,Femenino,Frecuente,Mañana,8,8,6,8,6,8,6,8,52,2
104,2025-11-11,Planta de alimentos,Masculino,Nuevo,Tarde,9,8,7,8,8,8,8,10,44,12
105,2025-11-11,Planta de alimentos,Femenino,Nuevo,Mañana,8,7,8,7,8,6,6,8,25,2
106,2025-11-11,Farmacia,Masculino,Frecuente,Tarde,7,6,8,6,9,7,6,7,40,15
107,2025-11-11,Farmacia,Masculino,Nuevo,Tarde,7,7,5,9,7,5,8,9,44,12
108,2025-11-11,Farmacia,Femenino,Frecuente,Mañana,8,10,7,7,9,7,8,8,41,8
109,2025-11-12,Movilización,Masculino,Frecuente,Tarde,6,6,5,6,8,5,4,5,53,15
110,2025-11-12,Planta de alimentos,Femenino,Nuevo,Noche,7,6,7,7,7,6,5,7,30,7
111,2025-11-12,Farmacia,Femenino,Frecuente,Mañana,8,7,3,8,6,6,5,7,39,13
112,2025-11-12,Farmacia,Masculino,Frecuente,Mañana,7,8,9,9,8,8,7,8,57,13
113,2025-11-12,Farmacia,Masculino,Frecuente,Tarde,8,7,8,8,8,9,7,7,54,7
114,2025-11-12,Planta de alimentos,Masculino,Frecuente,Mañana,7,9,8,9,9,7,9,6,30,7
115,2025-11-12,Farmacia,Femenino,Frecuente,Tarde,10,8,6,7,7,7,7,10,20,9
116,2025-11-12,Movilización,Femenino,Frecuente,Mañana,6,10,8,8,7,7,6,7,47,16
117,2025-11-12,Movilización,Masculino,Frecuente,Noche,6,8,5,6,5,8,6,6,42,16
118,2025-11-12,Farmacia,Femenino,Frecuente,Tarde,8,7,4,7,7,6,7,7,60,11
119,2025-11-12,Farmacia,Femenino,Nuevo,Mañana,6,5,6,6,6,6,5,4,64,9
120,2025-11-12,Planta de alimentos,Femenino,Frecuente,Tarde,8,9,6,9,10,7,9,7,30,3
121,2025-11-12,Farmacia,Femenino,Frecuente,Tarde,6,6,6,6,8,7,5,7,18,6
122,2025-11-13,Movilización,Masculino,Nuevo,Tarde,5,5,3,6,4,6,6,5,47,19
123,2025-11-13,Movilización,Femenino,Frecuente,Mañana,6,7,6,6,7,7,6,5,56,23
124,2025-11-13,Movilización,Femenino,Frecuente,Noche,6,5,5,5,6,6,7,5,50,13
125,2025-11-13,Movilización,Masculino,Frecuente,Tarde,8,9,8,9,9,8,7,10,38,14
126,2025-11-13,Planta de alimentos,Femenino,Nuevo,Mañana,7,6,5,5,6,5,7,7,25,2
127,2025-11-13,Movilización,Femenino,Frecuente,Tarde,5,6,6,6,6,8,7,5,40,18
128,2025-11-13,Movilización,Masculino,Frecuente,Mañana,8,6,7,7,8,7,7,8,50,21
129,2025-11-13,Movilización,Masculino,Nuevo,Tarde,6,6,5,6,7,6,4,5,39,20
130,2025-11-13,Farmacia,Femenino,Frecuente,Mañana,7,9,9,6,8,8,8,8,65,6
131,2025-11-13,Farmacia,Masculino,Nuevo,Tarde,7,7,6,7,7,7,5,7,23,14
132,2025-11-14,Movilización,Femenino,Frecuente,Tarde,6,3,6,5,7,6,4,5,45,24
133,2025-11-14,Planta de alimentos,Masculino,Nuevo,Tarde,8,9,8,8,9,8,7,8,35,8
134,2025-11-14,Farmacia,Masculino,Nuevo,Tarde,6,7,6,8,7,7,7,6,36,9
135,2025-11-14,Movilización,Femenino,Nuevo,Noche,6,8,5,9,6,6,8,8,35,19
136,2025-11-14,Planta de alimentos,Femenino,Frecuente,Noche,8,8,9,9,7,7,6,7,18,2
137,2025-11-14,Movilización,Femenino,Nuevo,Tarde,7,7,6,6,8,6,6,7,55,11
138,2025-11-14,Movilización,Femenino,Frecuente,Mañana,8,9,8,8,9,8,10,9,40,13
139,2025-11-14,Farmacia,Masculino,Frecuente,Tarde,6,7,5,7,7,8,10,7,34,14
140,2025-11-14,Movilización,Femenino,Frecuente,Mañana,6,8,5,8,8,8,6,7,44,14
141,2025-11-14,Planta de alimentos,Femenino,Frecuente,Tarde,8,8,9,9,7,8,8,9,60,2
142,2025-11-15,Movilización,Masculino,Frecuente,Noche,6,6,8,4,9,7,6,6,52,16
143,2025-11-15,Movilización,Masculino,Nuevo,Tarde,6,5,5,4,7,6,5,6,39,13
144,2025-11-15,Planta de alimentos,Masculino,Frecuente,Mañana,5,6,5,4,6,6,5,5,40,9
145,2025-11-15,Farmacia,Femenino,Nuevo,Mañana,6,6,6,8,5,6,6,5,58,9
146,2025-11-15,Movilización,Femenino,Frecuente,Mañana,7,8,5,6,9,8,8,8,47,19
147,2025-11-15,Planta de alimentos,Masculino,Frecuente,Mañana,8,9,6,8,9,10,9,7,32,7
148,2025-11-15,Farmacia,Masculino,Nuevo,Mañana,6,7,6,5,9,8,8,6,66,10
149,2025-11-15,Farmacia,Masculino,Frecuente,Tarde,7,8,7,9,7,6,8,5,18,12
150,2025-11-15,Farmacia,Femenino,Frecuente,Tarde,7,7,6,7,9,5,7,7,46,7
151,2025-11-15,Movilización,Femenino,Nuevo,Mañana,7,7,6,6,7,5,6,8,25,20
152,2025-11-16,Farmacia,Femenino,Frecuente,Mañana,8,9,8,8,7,7,10,8,52,9
153,2025-11-16,Movilización,Femenino,Frecuente,Mañana,7,10,7,7,7,8,7,8,45,19
154,2025-11-16,Farmacia,Masculino,Frecuente,Tarde,8,9,7,8,9,9,6,8,51,9
155,2025-11-16,Farmacia,Femenino,Frecuente,Noche,4,4,3,5,6,6,6,5,61,12
156,2025-11-16,Planta de alimentos,Masculino,Frecuente,Tarde,7,8,8,8,7,8,6,8,43,14
157,2025-11-16,Movilización,Femenino,Frecuente,Noche,6,6,5,7,7,7,7,6,46,9
158,2025-11-17,Movilización,Femenino,Nuevo,Mañana,8,7,5,8,7,7,6,8,36,14
159,2025-11-17,Farmacia,Femenino,Frecuente,Mañana,8,9,9,9,6,7,9,9,41,9
160,2025-11-17,Movilización,Femenino,Frecuente,Mañana,9,10,6,8,8,7,7,8,18,11
161,2025-11-17,Farmacia,Masculino,Frecuente,Tarde,7,9,8,8,5,6,7,6,31,9
162,2025-11-17,Farmacia,Masculino,Nuevo,Tarde,5,6,5,5,6,6,4,3,26,17
163,2025-11-17,Movilización,Masculino,Frecuente,Mañana,7,7,5,6,6,7,6,7,32,10
164,2025-11-17,Farmacia,Femenino,Frecuente,Noche,6,6,6,6,7,6,7,6,48,6
165,2025-11-17,Planta de alimentos,Femenino,Frecuente,Noche,8,9,10,8,8,7,7,9,62,8
166,2025-11-17,Farmacia,Femenino,Nuevo,Mañana,7,7,9,6,7,8,7,7,56,7
167,2025-11-17,Farmacia,Femenino,Frecuente,Tarde,7,7,9,8,8,6,7,7,51,15
168,2025-11-17,Movilización,Femenino,Frecuente,Mañana,8,8,7,7,8,7,7,7,44,13
169,2025-11-17,Farmacia,Otro,Frecuente,Tarde,5,7,6,7,7,8,9,6,42,14
170,2025-11-18,Planta de alimentos,Masculino,Frecuente,Tarde,9,9,8,10,8,9,9,9,31,7
171,2025-11-18,Movilización,Masculino,Frecuente,Mañana,6,8,8,7,7,7,7,6,46,20
172,2025-11-18,Farmacia,Masculino,Frecuente,Tarde,10,8,8,9,8,8,9,10,45,9
173,2025-11-18,Farmacia,Masculino,Frecuente,Mañana,8,6,6,4,6,9,6,8,31,10
174,2025-11-18,Farmacia,Masculino,Nuevo,Tarde,5,8,2,6,8,8,7,6,27,8
175,2025-11-19,Movilización,Masculino,Frecuente,Tarde,8,7,6,9,5,6,7,7,18,16
176,2025-11-19,Planta de alimentos,Femenino,Frecuente,Tarde,7,9,7,8,8,5,8,7,31,10
177,2025-11-19,Farmacia,Masculino,Nuevo,Tarde,7,9,10,9,7,7,8,7,26,12
178,2025-11-19,Farmacia,Masculino,Nuevo,Noche,5,8,4,6,7,6,7,5,22,15
179,2025-11-19,Planta de alimentos,Masculino,Nuevo,Mañana,8,8,8,8,7,8,7,7,40,4
180,2025-11-19,Farmacia,Otro,Nuevo,Tarde,6,5,5,6,7,8,6,7,23,11
181,2025-11-19,Farmacia,Masculino,Frecuente,Noche,6,6,7,7,7,6,8,6,22,15
182,2025-11-20,Farmacia,Masculino,Frecuente,Tarde,7,7,8,10,7,9,8,7,64,5
183,2025-11-20,Movilización,Masculino,Frecuente,Tarde,7,7,7,7,10,9,5,8,56,8
184,2025-11-20,Movilización,Femenino,Frecuente,Noche,7,6,5,5,6,4,6,7,57,9
185,2025-11-20,Farmacia,Femenino,Frecuente,Tarde,9,7,7,8,7,7,10,9,73,11
186,2025-11-20,Farmacia,Femenino,Frecuente,Mañana,6,9,6,7,8,5,7,6,21,6
187,2025-11-21,Farmacia,Femenino,Frecuente,Mañana,8,10,8,9,8,7,9,6,32,8
188,2025-11-21,Movilización,Femenino,Frecuente,Mañana,7,7,9,10,8,6,6,8,24,13
189,2025-11-21,Movilización,Femenino,Frecuente,Noche,8,7,6,6,5,7,7,8,54,25
190,2025-11-21,Farmacia,Femenino,Nuevo,Noche,5,6,6,6,5,5,5,5,64,11
191,2025-11-21,Planta de alimentos,Masculino,Frecuente,Mañana,7,8,9,8,9,10,8,7,44,7
192,2025-11-21,Farmacia,Masculino,Frecuente,Mañana,7,9,5,8,8,9,6,7,49,11
193,2025-11-21,Farmacia,Masculino,Frecuente,Mañana,8,7,7,8,7,8,7,7,47,8
194,2025-11-21,Movilización,Femenino,Frecuente,Mañana,7,9,5,7,7,8,7,7,31,25
195,2025-11-22,Movilización,Masculino,Frecuente,Mañana,6,7,4,6,6,5,6,7,28,20
196,2025-11-22,Movilización,Femenino,Frecuente,Tarde,7,4,5,6,4,5,6,7,27,11
197,2025-11-22,Movilización,Masculino,Frecuente,Noche,5,6,7,6,6,7,5,4,36,14
198,2025-11-22,Farmacia,Femenino,Frecuente,Mañana,6,9,7,9,7,8,8,5,27,15
199,2025-11-22,Movilización,Masculino,Frecuente,Mañana,6,6,6,7,6,6,5,7,52,17
200,2025-11-23,Farmacia,Masculino,Frecuente,Tarde,6,9,9,8,7,6,5,6,30,16
201,2025-11-23,Movilización,Femenino,Nuevo,Tarde,7,8,7,7,8,7,6,7,75,15
202,2025-11-23,Planta de alimentos,Femenino,Frecuente,Noche,8,7,6,8,8,6,8,8,64,3
203,2025-11-23,Movilización,Femenino,Frecuente,Noche,7,7,5,6,8,7,7,8,35,12
204,2025-11-23,Movilización,Masculino,Nuevo,Mañana,6,7,7,8,6,6,6,6,41,18
205,2025-11-23,Farmacia,Masculino,Frecuente,Tarde,8,6,8,8,8,8,7,8,35,9
206,2025-11-23,Farmacia,Masculino,Frecuente,Mañana,9,8,5,8,7,7,7,8,38,8
207,2025-11-24,Farmacia,Femenino,Frecuente,Tarde,6,6,7,6,7,8,6,6,57,9
208,2025-11-24,Movilización,Femenino,Nuevo,Tarde,7,7,4,4,5,6,5,8,52,13
209,2025-11-24,Farmacia,Femenino,Nuevo,Tarde,6,6,6,6,7,5,6,5,44,7
210,2025-11-24,Movilización,Masculino,Frecuente,Mañana,7,7,6,7,7,8,8,5,45,16
211,2025-11-24,Farmacia,Femenino,Frecuente,Mañana,7,6,8,6,7,8,5,7,49,7
212,2025-11-24,Farmacia,Masculino,Frecuente,Mañana,6,8,5,8,8,6,6,5,32,5
213,2025-11-25,Planta de alimentos,Otro,Frecuente,Mañana,7,6,8,8,10,8,7,7,29,4
214,2025-11-25,Farmacia,Masculino,Frecuente,Tarde,8,8,6,7,5,6,4,7,33,11
215,2025-11-25,Planta de alimentos,Femenino,Frecuente,Tarde,9,8,5,8,8,8,5,7,46,3
216,2025-11-25,Planta de alimentos,Masculino,Nuevo,Mañana,6,7,6,7,8,7,6,7,58,8
217,2025-11-25,Planta de alimentos,Femenino,Frecuente,Mañana,8,7,7,8,7,8,9,8,32,2
218,2025-11-25,Movilización,Masculino,Nuevo,Mañana,6,4,3,6,6,6,4,5,51,14
219,2025-11-25,Farmacia,Masculino,Nuevo,Mañana,8,9,8,8,5,8,6,6,36,10
220,2025-11-25,Farmacia,Femenino,Frecuente,Mañana,7,8,8,6,8,7,7,7,23,7
221,2025-11-25,Farmacia,Femenino,Frecuente,Mañana,9,9,8,9,6,8,9,10,49,3
222,2025-11-25,Movilización,Femenino,Frecuente,Tarde,8,8,7,7,7,7,9,7,37,10
223,2025-11-25,Farmacia,Otro,Frecuente,Tarde,6,9,7,8,8,7,9,8,42,14
224,2025-11-26,Farmacia,Masculino,Frecuente,Mañana,8,6,7,9,7,9,8,7,43,6
225,2025-11-26,Movilización,Masculino,Frecuente,Mañana,8,7,7,8,9,7,7,10,41,15
226,2025-11-26,Movilización,Masculino,Frecuente,Tarde,6,7,6,6,6,7,5,5,42,21
227,2025-11-26,Farmacia,Femenino,Frecuente,Mañana,8,7,7,7,8,9,8,6,65,12
228,2025-11-26,Farmacia,Femenino,Frecuente,Noche,7,7,9,7,8,7,9,7,50,14
229,2025-11-26,Movilización,Femenino,Nuevo,Tarde,7,8,7,8,6,8,6,6,29,15
230,2025-11-26,Farmacia,Masculino,Nuevo,Tarde,6,8,5,7,6,5,5,6,51,11
231,2025-11-26,Movilización,Masculino,Nuevo,Mañana,6,6,8,8,7,6,7,6,37,16
232,2025-11-26,Movilización,Masculino,Nuevo,Tarde,6,7,6,5,6,7,6,6,37,11
233,2025-11-26,Farmacia,Masculino,Frecuente,Tarde,7,7,6,7,8,8,7,8,43,4
234,2025-11-27,Movilización,Femenino,Nuevo,Tarde,7,6,6,5,6,6,6,8,42,17
235,2025-11-27,Farmacia,Femenino,Frecuente,Mañana,9,7,7,7,7,9,8,8,59,10
236,2025-11-27,Farmacia,Masculino,Frecuente,Mañana,8,7,7,9,8,6,8,7,30,9
237,2025-11-27,Farmacia,Femenino,Nuevo,Tarde,4,5,6,5,5,8,5,5,45,11
238,2025-11-27,Movilización,Masculino,Frecuente,Noche,7,7,5,6,7,7,5,7,30,13
239,2025-11-27,Movilización,Femenino,Nuevo,Tarde,6,7,5,5,6,7,6,6,49,17
240,2025-11-27,Farmacia,Femenino,Nuevo,Tarde,8,8,7,7,6,7,7,6,43,17
241,2025-11-27,Farmacia,Masculino,Frecuente,Mañana,7,7,6,8,8,7,6,8,52,8
242,2025-11-28,Movilización,Femenino,Frecuente,Tarde,8,7,8,7,9,7,7,8,41,16
243,2025-11-28,Farmacia,Femenino,Frecuente,Tarde,8,10,9,9,7,10,8,8,24,10
244,2025-11-28,Planta de alimentos,Masculino,Frecuente,Mañana,6,7,8,7,6,9,7,5,37,5
245,2025-11-28,Farmacia,Masculino,Frecuente,Mañana,7,6,7,7,7,7,5,7,38,6
246,2025-11-28,Farmacia,Masculino,Nuevo,Tarde,7,6,7,6,8,7,5,8,45,11
247,2025-11-28,Farmacia,Femenino,Frecuente,Noche,7,7,7,8,7,7,6,6,41,13
248,2025-11-28,Farmacia,Femenino,Frecuente,Tarde,7,6,7,8,7,5,7,7,18,11
249,2025-11-28,Farmacia,Femenino,Nuevo,Mañana,8,9,8,8,8,8,8,8,50,13
250,2025-11-28,Planta de alimentos,Femenino,Frecuente,Mañana,6,7,7,6,8,8,7,7,58,3
251,2025-11-28,Movilización,Masculino,Frecuente,Mañana,8,8,8,6,7,7,7,7,44,20
252,2025-11-29,Movilización,Masculino,Frecuente,Tarde,6,7,5,7,6,8,5,6,43,21
253,2025-11-29,Planta de alimentos,Masculino,Nuevo,Tarde,8,7,7,9,7,8,6,8,28,6
254,2025-11-29,Movilización,Masculino,Nuevo,Noche,7,6,5,6,6,7,6,7,50,17
255,2025-11-29,Planta de alimentos,Masculino,Nuevo,Mañana,7,8,6,9,7,7,7,7,40,5
256,2025-11-29,Planta de alimentos,Femenino,Frecuente,Mañana,7,6,8,8,8,8,8,7,50,2
257,2025-11-29,Planta de alimentos,Femenino,Frecuente,Tarde,8,7,8,8,7,5,8,7,42,12
258,2025-11-29,Planta de alimentos,Femenino,Frecuente,Tarde,6,8,6,8,8,6,7,5,44,4
259,2025-11-29,Movilización,Masculino,Frecuente,Tarde,7,7,8,8,9,7,8,8,32,17
260,2025-11-29,Farmacia,Masculino,Frecuente,Mañana,6,8,8,9,7,6,7,6,36,11
261,2025-11-29,Farmacia,Femenino,Frecuente,Noche,7,6,6,7,6,6,5,6,54,3
262,2025-11-29,Movilización,Masculino,Frecuente,Tarde,6,6,7,6,9,6,6,5,40,15
263,2025-11-29,Farmacia,Femenino,Nuevo,Mañana,7,9,6,6,7,7,7,7,45,11
264,2025-11-29,Farmacia,Femenino,Nuevo,Noche,6,6,6,7,5,5,5,8,62,11
265,2025-11-30,Farmacia,Femenino,Nuevo,Tarde,6,6,5,8,7,6,6,8,67,9
266,2025-11-30,Movilización,Femenino,Frecuente,Tarde,4,7,7,8,7,7,8,5,32,15
267,2025-11-30,Movilización,Masculino,Frecuente,Noche,6,7,6,7,9,7,5,5,41,15
268,2025-11-30,Planta de alimentos,Femenino,Frecuente,Tarde,7,10,7,9,10,10,8,6,45,7
269,2025-11-30,Farmacia,Femenino,Frecuente,Noche,4,5,6,7,6,7,7,4,46,2
